ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	REACTOME_PATHWAY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
ENSG00000178409	BEN domain containing 3(BEND3)	Homo sapiens				GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0000183~chromatin silencing at rDNA,GO:0006306~DNA methylation,GO:0006351~transcription, DNA-templated,GO:0034773~histone H4-K20 trimethylation,GO:0036124~histone H3-K9 trimethylation,GO:0043967~histone H4 acetylation,GO:0080182~histone H3-K4 trimethylation,GO:0098532~histone H3-K27 trimethylation,	GO:0005720~nuclear heterochromatin,GO:0005730~nucleolus,	GO:0000182~rDNA binding,GO:0005515~protein binding,	IPR018379:BEN domain,					SM01025:SM01025,	Chromatin regulator,Complete proteome,DNA-binding,Isopeptide bond,Nucleus,Phosphoprotein,Reference proteome,Repeat,Repressor,Transcription,Transcription regulation,Ubl conjugation,	chain:BEN domain-containing protein 3,domain:BEN 1,domain:BEN 2,domain:BEN 3,domain:BEN 4,modified residue,sequence conflict,
ENSG00000222009	BTB domain containing 19(BTBD19)	Homo sapiens							IPR000210:BTB/POZ-like,IPR011333:BTB/POZ fold,IPR011705:BTB/Kelch-associated,					SM00225:BTB,SM00875:SM00875,	Alternative splicing,Complete proteome,Polymorphism,Reference proteome,
ENSG00000117281	CD160 molecule(CD160)	Homo sapiens				GO:0006968~cellular defense response,GO:0007166~cell surface receptor signaling pathway,GO:0008283~cell proliferation,GO:0050776~regulation of immune response,GO:0050829~defense response to Gram-negative bacterium,	GO:0005886~plasma membrane,GO:0016021~integral component of membrane,GO:0046658~anchored component of plasma membrane,	GO:0004872~receptor activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0032393~MHC class I receptor activity,	IPR007110:Immunoglobulin-like domain,IPR013783:Immunoglobulin-like fold,				R-HSA-198933:R-HSA-198933,		Cell membrane,Complete proteome,Disulfide bond,Glycoprotein,GPI-anchor,Immunoglobulin domain,Lipoprotein,Membrane,Polymorphism,Proteomics identification,Receptor,Reference proteome,Signal,Transmembrane,	chain:CD160 antigen,disulfide bond,domain:Ig-like V-type,glycosylation site:N-linked (GlcNAc...),lipid moiety-binding region:GPI-anchor amidated serine,propeptide:Removed in mature form,sequence variant,signal peptide,
ENSG00000138346	DNA replication helicase/nuclease 2(DNA2)	Homo sapiens			DNA replication, recombination, and repair,	GO:0000076~DNA replication checkpoint,GO:0000722~telomere maintenance via recombination,GO:0000723~telomere maintenance,GO:0000729~DNA double-strand break processing,GO:0000731~DNA synthesis involved in DNA repair,GO:0000732~strand displacement,GO:0006260~DNA replication,GO:0006264~mitochondrial DNA replication,GO:0006284~base-excision repair,GO:0032508~DNA duplex unwinding,GO:0033567~DNA replication, Okazaki fragment processing,GO:0043137~DNA replication, removal of RNA primer,GO:0043504~mitochondrial DNA repair,GO:0045740~positive regulation of DNA replication,GO:0090305~nucleic acid phosphodiester bond hydrolysis,GO:1901796~regulation of signal transduction by p53 class mediator,GO:1902990~mitotic telomere maintenance via semi-conservative replication,	GO:0000784~nuclear chromosome, telomeric region,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005760~gamma DNA polymerase complex,GO:0042645~mitochondrial nucleoid,	GO:0003677~DNA binding,GO:0003678~DNA helicase activity,GO:0004386~helicase activity,GO:0004518~nuclease activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:0016890~site-specific endodeoxyribonuclease activity, specific for altered base,GO:0017108~5'-flap endonuclease activity,GO:0043139~5'-3' DNA helicase activity,GO:0043142~single-stranded DNA-dependent ATPase activity,GO:0046872~metal ion binding,GO:0051539~4 iron, 4 sulfur cluster binding,	IPR014808:DNA replication factor Dna2, N-terminal,IPR026851:Dna2,IPR027417:P-loop containing nucleoside triphosphate hydrolase,	hsa03030:DNA replication,	615156~Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 6,615807~Seckel syndrome 8,		R-HSA-174437:R-HSA-174437,R-HSA-5685938:R-HSA-5685938,R-HSA-5685942:R-HSA-5685942,R-HSA-5693554:R-HSA-5693554,R-HSA-5693568:R-HSA-5693568,R-HSA-5693579:R-HSA-5693579,R-HSA-5693607:R-HSA-5693607,R-HSA-5693616:R-HSA-5693616,R-HSA-69166:R-HSA-69166,R-HSA-69473:R-HSA-69473,		3D-structure,4Fe-4S,Acetylation,Alternative splicing,ATP-binding,Complete proteome,Disease mutation,DNA damage,DNA repair,DNA replication,DNA-binding,Dwarfism,Endonuclease,Helicase,Hydrolase,Iron,Iron-sulfur,Mental retardation,Metal-binding,Mitochondrion,Multifunctional enzyme,Nuclease,Nucleotide-binding,Nucleus,Progressive external ophthalmoplegia,Proteomics identification,Reference proteome,	chain:DNA2-like helicase,nucleotide phosphate-binding region:ATP,splice variant,
ENSG00000147912	F-box protein 10(FBXO10)	Homo sapiens			Inorganic ion transport and metabolism,	GO:0006915~apoptotic process,GO:0016567~protein ubiquitination,GO:0042787~protein ubiquitination involved in ubiquitin-dependent protein catabolic process,GO:0042981~regulation of apoptotic process,	GO:0000151~ubiquitin ligase complex,GO:0005737~cytoplasm,	GO:0004842~ubiquitin-protein transferase activity,GO:0005515~protein binding,	IPR001810:F-box domain, cyclin-like,IPR006626:Parallel beta-helix repeat,IPR006633:Carbohydrate-binding/sugar hydrolysis domain,IPR007742:Periplasmic copper-binding protein NosD, beta helix domain,IPR011050:Pectin lyase fold/virulence factor,IPR012334:Pectin lyase fold,IPR022441:Parallel beta-helix repeat-2,				R-HSA-983168:R-HSA-983168,	SM00256:FBOX,SM00710:PbH1,SM00722:CASH,	Alternative splicing,Apoptosis,Complete proteome,Cytoplasm,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Ubl conjugation pathway,	chain:F-box only protein 10,domain:F-box,repeat:PbH1 1,repeat:PbH1 10,repeat:PbH1 11,repeat:PbH1 12,repeat:PbH1 13,repeat:PbH1 14,repeat:PbH1 15,repeat:PbH1 16,repeat:PbH1 17,repeat:PbH1 2,repeat:PbH1 3,repeat:PbH1 4,repeat:PbH1 5,repeat:PbH1 6,repeat:PbH1 7,repeat:PbH1 8,repeat:PbH1 9,sequence conflict,sequence variant,
ENSG00000181773	G protein-coupled receptor 3(GPR3)	Homo sapiens				GO:0007189~adenylate cyclase-activating G-protein coupled receptor signaling pathway,GO:0040020~regulation of meiotic nuclear division,	GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,	GO:0004930~G-protein coupled receptor activity,GO:0005515~protein binding,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR000723:G protein-coupled receptor 3/6/12 orphan,IPR000984:G protein-coupled receptor 3,IPR017452:GPCR, rhodopsin-like, 7TM,						Cell membrane,Complete proteome,G-protein coupled receptor,Glycoprotein,Lipoprotein,Membrane,Palmitate,Phosphoprotein,Polymorphism,Receptor,Reference proteome,Transducer,Transmembrane,Transmembrane helix,	chain:G-protein coupled receptor 3,glycosylation site:N-linked (GlcNAc...),lipid moiety-binding region:S-palmitoyl cysteine,modified residue,sequence variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
ENSG00000119737	G protein-coupled receptor 75(GPR75)	Homo sapiens				GO:0007166~cell surface receptor signaling pathway,GO:0007186~G-protein coupled receptor signaling pathway,GO:0070098~chemokine-mediated signaling pathway,GO:1901214~regulation of neuron death,	GO:0005887~integral component of plasma membrane,	GO:0004930~G-protein coupled receptor activity,GO:0016493~C-C chemokine receptor activity,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR017452:GPCR, rhodopsin-like, 7TM,						Cell membrane,Complete proteome,G-protein coupled receptor,Glycoprotein,Membrane,Polymorphism,Receptor,Reference proteome,Transducer,Transmembrane,Transmembrane helix,	chain:Probable G-protein coupled receptor 75,compositionally biased region:Phe-rich,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
ENSG00000188092	G protein-coupled receptor 89B(GPR89B)	Homo sapiens				GO:0006811~ion transport,GO:0015031~protein transport,GO:0034765~regulation of ion transmembrane transport,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0051452~intracellular pH reduction,	GO:0000139~Golgi membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030660~Golgi-associated vesicle membrane,GO:0032580~Golgi cisterna membrane,	GO:0004871~signal transducer activity,GO:0005244~voltage-gated ion channel activity,GO:0008308~voltage-gated anion channel activity,	IPR015672:GPCR 89-related,IPR022535:Golgi pH regulator, conserved domain,IPR025969:Abscisic acid G-protein coupled receptor-like domain,						Alternative splicing,Complete proteome,Glycoprotein,Golgi apparatus,Ion channel,Ion transport,Membrane,Protein transport,Receptor,Reference proteome,Transmembrane,Transmembrane helix,Transport,Voltage-gated channel,	chain:Protein GPR89,chain:Putative protein GPR89C,glycosylation site:N-linked (GlcNAc...),sequence conflict,splice variant,transmembrane region,
ENSG00000100890	KIAA0391(KIAA0391)	Homo sapiens				GO:0001682~tRNA 5'-leader removal,GO:0008033~tRNA processing,GO:0090502~RNA phosphodiester bond hydrolysis, endonucleolytic,GO:0090646~mitochondrial tRNA processing,	GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0042645~mitochondrial nucleoid,	GO:0004526~ribonuclease P activity,					R-HSA-6785470:R-HSA-6785470,		3D-structure,Alternative splicing,Complete proteome,Mitochondrion,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transit peptide,tRNA processing,	chain:Mitochondrial ribonuclease P protein 3,modified residue,sequence conflict,sequence variant,splice variant,transit peptide:Mitochondrion,
ENSG00000157193	LDL receptor related protein 8(LRP8)	Homo sapiens		h_Lis1Pathway:Lissencephaly gene (LIS1) in neuronal migration and development,h_reelinPathway:Reelin Signaling Pathway,		GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001523~retinoid metabolic process,GO:0006508~proteolysis,GO:0006629~lipid metabolic process,GO:0006897~endocytosis,GO:0006898~receptor-mediated endocytosis,GO:0007165~signal transduction,GO:0019221~cytokine-mediated signaling pathway,GO:0021541~ammon gyrus development,GO:0021987~cerebral cortex development,GO:0032793~positive regulation of CREB transcription factor activity,GO:0038026~reelin-mediated signaling pathway,GO:0042493~response to drug,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050804~modulation of synaptic transmission,GO:0061003~positive regulation of dendritic spine morphogenesis,GO:0061098~positive regulation of protein tyrosine kinase activity,GO:0071363~cellular response to growth factor stimulus,GO:0071397~cellular response to cholesterol,GO:1900006~positive regulation of dendrite development,	GO:0005576~extracellular region,GO:0005875~microtubule associated complex,GO:0005886~plasma membrane,GO:0005901~caveola,GO:0014069~postsynaptic density,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030424~axon,GO:0030425~dendrite,GO:0043025~neuronal cell body,GO:0043235~receptor complex,	GO:0004888~transmembrane signaling receptor activity,GO:0005041~low-density lipoprotein receptor activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0008035~high-density lipoprotein particle binding,GO:0019894~kinesin binding,GO:0030229~very-low-density lipoprotein particle receptor activity,GO:0034185~apolipoprotein binding,GO:0038025~reelin receptor activity,	IPR000033:LDLR class B repeat,IPR000152:EGF-type aspartate/asparagine hydroxylation site,IPR000742:Epidermal growth factor-like domain,IPR001881:EGF-like calcium-binding,IPR002172:Low-density lipoprotein (LDL) receptor class A repeat,IPR009030:Insulin-like growth factor binding protein, N-terminal,IPR011042:Six-bladed beta-propeller, TolB-like,IPR013032:EGF-like, conserved site,IPR018097:EGF-like calcium-binding, conserved site,IPR023415:Low-density lipoprotein (LDL) receptor class A, conserved site,		608446~Myocardial infarction, susceptibility to,		R-HSA-432142:R-HSA-432142,R-HSA-975634:R-HSA-975634,	SM00135:LY,SM00179:EGF_CA,SM00181:EGF,SM00192:LDLa,	3D-structure,Alternative splicing,Calcium,Cell membrane,Complete proteome,Disulfide bond,EGF-like domain,Endocytosis,Glycoprotein,Lipoprotein,Membrane,Phosphoprotein,Polymorphism,Proteomics identification,Receptor,Reference proteome,Repeat,Secreted,Signal,Transmembrane,Transmembrane helix,Ubl conjugation,	chain:Low-density lipoprotein receptor-related protein 8,disulfide bond,domain:EGF-like 1,domain:EGF-like 2; calcium-binding,domain:LDL-receptor class A 1,domain:LDL-receptor class A 2,domain:LDL-receptor class A 3,domain:LDL-receptor class A 4,domain:LDL-receptor class A 5,domain:LDL-receptor class A 6,domain:LDL-receptor class A 7,glycosylation site:N-linked (GlcNAc...),region of interest:Clustered O-linked oligosaccharides,repeat:LDL-receptor class B 1,repeat:LDL-receptor class B 2,repeat:LDL-receptor class B 3,repeat:LDL-receptor class B 4,repeat:LDL-receptor class B 5,sequence conflict,sequence variant,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
