ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
ENSG00000188234	ArfGAP with GTPase domain, ankyrin repeat and PH domain 4(AGAP4)	Homo sapiens				GO:0043547~positive regulation of GTPase activity,		GO:0005096~GTPase activator activity,GO:0046872~metal ion binding,	IPR001164:Arf GTPase activating protein,IPR001849:Pleckstrin homology domain,IPR002110:Ankyrin repeat,IPR011993:Pleckstrin homology-like domain,IPR020683:Ankyrin repeat-containing domain,				SM00105:ArfGap,SM00233:PH,SM00248:ANK,	ANK repeat,Complete proteome,GTPase activation,Metal-binding,Polymorphism,Reference proteome,Repeat,Zinc,Zinc-finger,	chain:Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 4,chain:Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 6,domain:Arf-GAP,domain:PH,repeat:ANK 1,repeat:ANK 2,sequence variant,zinc finger region:C4-type,
ENSG00000172650	ArfGAP with GTPase domain, ankyrin repeat and PH domain 5(AGAP5)	Homo sapiens				GO:0043547~positive regulation of GTPase activity,		GO:0005096~GTPase activator activity,GO:0046872~metal ion binding,	IPR001164:Arf GTPase activating protein,IPR001849:Pleckstrin homology domain,IPR002110:Ankyrin repeat,IPR011993:Pleckstrin homology-like domain,IPR020683:Ankyrin repeat-containing domain,				SM00105:ArfGap,SM00233:PH,SM00248:ANK,	ANK repeat,Complete proteome,GTPase activation,Metal-binding,Reference proteome,Repeat,Zinc,Zinc-finger,	chain:Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 10,chain:Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 9,domain:Arf-GAP,domain:PH,region of interest:2 X 23 AA tandem repeats of A-L-E-F-N- [LS]-S-A-N-P-E-A-S-T-I-F-Q-R-N-S-Q-T-D,repeat:1,repeat:2,repeat:ANK,zinc finger region:C4-type,
ENSG00000119866	B-cell CLL/lymphoma 11A(BCL11A)	Homo sapiens				GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006351~transcription, DNA-templated,GO:0007165~signal transduction,GO:0010976~positive regulation of neuron projection development,GO:0010977~negative regulation of neuron projection development,GO:0016925~protein sumoylation,GO:0030517~negative regulation of axon extension,GO:0032463~negative regulation of protein homooligomerization,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048671~negative regulation of collateral sprouting,GO:0048672~positive regulation of collateral sprouting,GO:0050773~regulation of dendrite development,GO:2000171~negative regulation of dendrite development,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003676~nucleic acid binding,GO:0042803~protein homodimerization activity,GO:0046872~metal ion binding,GO:0046982~protein heterodimerization activity,	IPR007087:Zinc finger, C2H2,IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain,IPR015880:Zinc finger, C2H2-like,				SM00355:ZnF_C2H2,	Alternative splicing,Chromosomal rearrangement,Coiled coil,Complete proteome,Cytoplasm,Isopeptide bond,Metal-binding,Methylation,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Repressor,Transcription,Transcription regulation,Ubl conjugation,Zinc,Zinc-finger,	chain:B-cell lymphoma/leukemia 11A,compositionally biased region:Glu-rich,compositionally biased region:Pro-rich,modified residue,sequence conflict,sequence variant,splice variant,zinc finger region:C2H2-type 1,zinc finger region:C2H2-type 2,zinc finger region:C2H2-type 3,zinc finger region:C2H2-type 4,zinc finger region:C2H2-type 5,zinc finger region:C2H2-type 6,
ENSG00000095585	B-cell linker(BLNK)	Homo sapiens		h_bcrPathway:BCR Signaling Pathway,		GO:0006954~inflammatory response,GO:0006959~humoral immune response,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0009967~positive regulation of signal transduction,GO:0030183~B cell differentiation,GO:0035556~intracellular signal transduction,	GO:0005622~intracellular,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,	GO:0005068~transmembrane receptor protein tyrosine kinase adaptor activity,GO:0005070~SH3/SH2 adaptor activity,GO:0005515~protein binding,	IPR000980:SH2 domain,	hsa04064:NF-kappa B signaling pathway,hsa04380:Osteoclast differentiation,hsa04662:B cell receptor signaling pathway,hsa05340:Primary immunodeficiency,	613502~Agammaglobulinemia 4,		SM00252:SH2,	Alternative splicing,B-cell activation,Cell membrane,Complete proteome,Cytoplasm,Direct protein sequencing,Membrane,Phosphoprotein,Proteomics identification,Reference proteome,SH2 domain,	chain:B-cell linker protein,compositionally biased region:Pro-rich,domain:SH2,modified residue,mutagenesis site,sequence conflict,splice variant,
ENSG00000128298	BAI1 associated protein 2 like 2(BAIAP2L2)	Homo sapiens				GO:0007009~plasma membrane organization,GO:0008286~insulin receptor signaling pathway,GO:0030838~positive regulation of actin filament polymerization,GO:0051017~actin filament bundle assembly,GO:0051764~actin crosslink formation,GO:0061024~membrane organization,GO:2000251~positive regulation of actin cytoskeleton reorganization,	GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0012506~vesicle membrane,GO:0015629~actin cytoskeleton,GO:0030659~cytoplasmic vesicle membrane,GO:0044291~cell-cell contact zone,GO:0071439~clathrin complex,	GO:0005543~phospholipid binding,GO:0008093~cytoskeletal adaptor activity,	IPR001452:Src homology-3 domain,IPR013606:IRSp53/MIM homology domain (IMD),				SM00326:SH3,	Alternative splicing,Cell junction,Cell membrane,Complete proteome,Cytoplasmic vesicle,Lipid-binding,Membrane,Phosphoprotein,Proteomics identification,Reference proteome,SH3 domain,	chain:Brain-specific angiogenesis inhibitor 1- associated protein 2-like protein 2,domain:IMD,domain:SH3,sequence conflict,splice variant,
ENSG00000121380	BCL2 like 14(BCL2L14)	Homo sapiens				GO:0006915~apoptotic process,GO:0042981~regulation of apoptotic process,GO:2001238~positive regulation of extrinsic apoptotic signaling pathway,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0012505~endomembrane system,GO:0016020~membrane,GO:0043229~intracellular organelle,	GO:0005515~protein binding,GO:0019901~protein kinase binding,	IPR002475:Bcl2-like,					Alternative splicing,Apoptosis,Complete proteome,Cytoplasm,Membrane,Phosphoprotein,Proteomics identification,Reference proteome,	chain:Apoptosis facilitator Bcl-2-like protein 14,modified residue,short sequence motif:BH2,short sequence motif:BH3,splice variant,
ENSG00000085185	BCL6 corepressor-like 1(BCORL1)	Homo sapiens				GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0016569~covalent chromatin modification,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005886~plasma membrane,		IPR002110:Ankyrin repeat,IPR020683:Ankyrin repeat-containing domain,				SM00248:ANK,	3D-structure,Alternative splicing,ANK repeat,Chromatin regulator,Complete proteome,Isopeptide bond,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Repressor,Transcription,Transcription regulation,Ubl conjugation,	chain:BCL-6 corepressor-like protein 1,compositionally biased region:Pro-rich,modified residue,mutagenesis site,repeat:ANK 1,repeat:ANK 2,repeat:ANK 3,sequence conflict,sequence variant,short sequence motif:Nuclear localization signal,splice variant,
ENSG00000136573	BLK proto-oncogene, Src family tyrosine kinase(BLK)	Homo sapiens				GO:0007010~cytoskeleton organization,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0030154~cell differentiation,GO:0032024~positive regulation of insulin secretion,GO:0035556~intracellular signal transduction,GO:0038083~peptidyl-tyrosine autophosphorylation,GO:0042127~regulation of cell proliferation,GO:0043066~negative regulation of apoptotic process,GO:0045087~innate immune response,GO:0050764~regulation of phagocytosis,GO:0050853~B cell receptor signaling pathway,GO:0071801~regulation of podosome assembly,	GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,	GO:0004713~protein tyrosine kinase activity,GO:0004715~non-membrane spanning protein tyrosine kinase activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0005524~ATP binding,	IPR000719:Protein kinase, catalytic domain,IPR000980:SH2 domain,IPR001245:Serine-threonine/tyrosine-protein kinase catalytic domain,IPR001452:Src homology-3 domain,IPR011009:Protein kinase-like domain,IPR017441:Protein kinase, ATP binding site,IPR020635:Tyrosine-protein kinase, catalytic domain,		613375~Maturity-onset diabetes of the young, type 11,		SM00219:TyrKc,SM00252:SH2,SM00326:SH3,	ATP-binding,Cell membrane,Complete proteome,Diabetes mellitus,Kinase,Lipoprotein,Membrane,Myristate,Nucleotide-binding,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,SH2 domain,SH3 domain,Transferase,Tyrosine-protein kinase,Ubl conjugation,	active site:Proton acceptor,binding site:ATP,chain:Tyrosine-protein kinase Blk,domain:Protein kinase,domain:SH2,domain:SH3,lipid moiety-binding region:N-myristoyl glycine,modified residue,nucleotide phosphate-binding region:ATP,sequence conflict,sequence variant,
ENSG00000095739	BMP and activin membrane bound inhibitor(BAMBI)	Homo sapiens				GO:0007179~transforming growth factor beta receptor signaling pathway,GO:0008284~positive regulation of cell proliferation,GO:0008360~regulation of cell shape,GO:0010718~positive regulation of epithelial to mesenchymal transition,GO:0016477~cell migration,GO:0030512~negative regulation of transforming growth factor beta receptor signaling pathway,GO:0032092~positive regulation of protein binding,GO:0035413~positive regulation of catenin import into nucleus,GO:0045893~positive regulation of transcription, DNA-templated,GO:0090263~positive regulation of canonical Wnt signaling pathway,	GO:0005737~cytoplasm,GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0005109~frizzled binding,GO:0005114~type II transforming growth factor beta receptor binding,	IPR009345:BMP/activin membrane-bound inhibitor,	hsa04310:Wnt signaling pathway,hsa04350:TGF-beta signaling pathway,		PIRSF037456:BMP and activin membrane-bound inhibitor,		Complete proteome,Direct protein sequencing,Glycoprotein,Membrane,Reference proteome,Signal,Transmembrane,Transmembrane helix,	chain:BMP and activin membrane-bound inhibitor homolog,glycosylation site:N-linked (GlcNAc...),signal peptide,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
ENSG00000010671	Bruton tyrosine kinase(BTK)	Homo sapiens	101.Gprot_coupled_Rec_MAP_Kinase,	h_bcrPathway:BCR Signaling Pathway,h_fcer1Pathway:Fc Epsilon Receptor I Signaling in Mast Cells,h_ptdinsPathway:Phosphoinositides and their downstream targets.,		GO:0001805~positive regulation of type III hypersensitivity,GO:0001812~positive regulation of type I hypersensitivity,GO:0001818~negative regulation of cytokine production,GO:0002250~adaptive immune response,GO:0002553~histamine secretion by mast cell,GO:0002721~regulation of B cell cytokine production,GO:0002755~MyD88-dependent toll-like receptor signaling pathway,GO:0002902~regulation of B cell apoptotic process,GO:0006351~transcription, DNA-templated,GO:0006468~protein phosphorylation,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007249~I-kappaB kinase/NF-kappaB signaling,GO:0007498~mesoderm development,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0019722~calcium-mediated signaling,GO:0034614~cellular response to reactive oxygen species,GO:0035556~intracellular signal transduction,GO:0038083~peptidyl-tyrosine autophosphorylation,GO:0038095~Fc-epsilon receptor signaling pathway,GO:0042113~B cell activation,GO:0042127~regulation of cell proliferation,GO:0045087~innate immune response,GO:0045579~positive regulation of B cell differentiation,GO:0048469~cell maturation,GO:0050853~B cell receptor signaling pathway,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0071226~cellular response to molecule of fungal origin,GO:0097190~apoptotic signaling pathway,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,GO:0031410~cytoplasmic vesicle,GO:0042629~mast cell granule,GO:0043231~intracellular membrane-bounded organelle,GO:0045121~membrane raft,GO:0048471~perinuclear region of cytoplasm,	GO:0004672~protein kinase activity,GO:0004713~protein tyrosine kinase activity,GO:0004715~non-membrane spanning protein tyrosine kinase activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0005547~phosphatidylinositol-3,4,5-trisphosphate binding,GO:0016301~kinase activity,GO:0042802~identical protein binding,GO:0046872~metal ion binding,	IPR000719:Protein kinase, catalytic domain,IPR000980:SH2 domain,IPR001245:Serine-threonine/tyrosine-protein kinase catalytic domain,IPR001452:Src homology-3 domain,IPR001562:Zinc finger, Btk motif,IPR001849:Pleckstrin homology domain,IPR008266:Tyrosine-protein kinase, active site,IPR011009:Protein kinase-like domain,IPR011993:Pleckstrin homology-like domain,IPR017441:Protein kinase, ATP binding site,IPR020635:Tyrosine-protein kinase, catalytic domain,	hsa04064:NF-kappa B signaling pathway,hsa04380:Osteoclast differentiation,hsa04611:Platelet activation,hsa04662:B cell receptor signaling pathway,hsa04664:Fc epsilon RI signaling pathway,hsa05340:Primary immunodeficiency,	300755~Agammaglobulinemia, X-linked 1,307200~Agammaglobulinemia and isolated hormone deficiency,		SM00107:BTK,SM00219:TyrKc,SM00233:PH,SM00252:SH2,SM00326:SH3,	3D-structure,Acetylation,Adaptive immunity,Alternative promoter usage,Apoptosis,ATP-binding,Cell membrane,Complete proteome,Cytoplasm,Direct protein sequencing,Disease mutation,Immunity,Innate immunity,Kinase,Lipid-binding,Membrane,Metal-binding,Nucleotide-binding,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,SH2 domain,SH3 domain,Transcription,Transcription regulation,Transferase,Tyrosine-protein kinase,Zinc,Zinc-finger,	active site:Proton acceptor,binding site:ATP,chain:Tyrosine-protein kinase BTK,domain:PH,domain:Protein kinase,domain:SH2,domain:SH3,helix,metal ion-binding site:Zinc,modified residue,mutagenesis site,nucleotide phosphate-binding region:ATP,sequence variant,strand,turn,zinc finger region:Btk-type,
ENSG00000184451	C-C motif chemokine receptor 10(CCR10)	Homo sapiens				GO:0006935~chemotaxis,GO:0006955~immune response,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0070098~chemokine-mediated signaling pathway,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009986~cell surface,GO:0016021~integral component of membrane,	GO:0004930~G-protein coupled receptor activity,GO:0016493~C-C chemokine receptor activity,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR000355:Chemokine receptor family,IPR005382:CC chemokine receptor 10,IPR017452:GPCR, rhodopsin-like, 7TM,	hsa04060:Cytokine-cytokine receptor interaction,hsa04062:Chemokine signaling pathway,hsa04672:Intestinal immune network for IgA production,				Cell membrane,Complete proteome,Disulfide bond,G-protein coupled receptor,Membrane,Proteomics identification,Receptor,Reference proteome,Transducer,Transmembrane,Transmembrane helix,	chain:C-C chemokine receptor type 10,disulfide bond,modified residue,sequence conflict,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
